iter	Passed	Remaining
0	143	143433
1	156	78254
2	164	54761
3	172	42883
4	179	35708
5	186	30917
6	194	27567
7	201	24999
8	210	23131
9	217	21490
10	224	20148
11	231	19083
12	239	18150
13	246	17390
14	255	16757
15	262	16141
16	270	15618
17	277	15155
18	285	14740
19	293	14381
20	302	14092
21	309	13776
22	318	13520
23	326	13287
24	334	13030
25	342	12812
26	350	12617
27	358	12439
28	366	12257
29	372	12048
30	379	11859
31	386	11690
32	394	11564
33	404	11503
34	412	11360
35	419	11232
36	427	11132
37	435	11017
38	443	10915
39	450	10823
40	458	10721
41	465	10618
42	472	10526
43	480	10436
44	487	10352
45	495	10274
46	503	10203
47	510	10132
48	520	10101
49	530	10072
50	539	10047
51	549	10009
52	555	9933
53	563	9867
54	570	9802
55	588	9912
56	599	9915
57	606	9858
58	614	9800
59	623	9766
60	631	9723
61	640	9687
62	649	9664
63	658	9630
64	666	9580
65	673	9538
66	681	9495
67	690	9457
68	698	9419
69	705	9378
70	712	9320
71	718	9261
72	724	9198
73	731	9149
74	738	9103
75	744	9049
76	750	9000
77	757	8953
78	763	8898
79	770	8856
80	777	8820
81	785	8791
82	791	8749
83	799	8719
84	806	8686
85	812	8635
86	819	8604
87	826	8566
88	833	8528
89	839	8485
90	844	8440
91	851	8406
92	858	8374
93	864	8336
94	871	8304
95	877	8262
96	884	8238
97	892	8214
98	900	8192
99	906	8159
100	912	8125
101	918	8086
102	925	8058
103	932	8034
104	939	8007
105	946	7978
106	951	7941
107	959	7921
108	966	7897
109	973	7875
110	979	7848
111	986	7824
112	993	7796
113	999	7771
114	1008	7760
115	1015	7738
116	1022	7714
117	1028	7685
118	1033	7653
119	1040	7626
120	1046	7605
121	1053	7582
122	1060	7558
123	1065	7529
124	1072	7508
125	1079	7487
126	1086	7465
127	1092	7445
128	1100	7428
129	1107	7414
130	1117	7413
131	1124	7392
132	1129	7365
133	1137	7352
134	1144	7330
135	1150	7309
136	1156	7286
137	1162	7262
138	1169	7243
139	1175	7223
140	1183	7208
141	1189	7188
142	1195	7164
143	1202	7149
144	1209	7132
145	1215	7112
146	1222	7093
147	1228	7070
148	1235	7054
149	1242	7038
150	1248	7020
